Matricule;Annee;Mois;Code;Libelle;Type;Montant;indic_astr;indic_IHTS
300977;2013;2;1900;HEURES SUPPL.  = 14 H;R;36,42;FALSE;TRUE
300977;2013;2;1930;HEURES SUPPL. DE NUIT;R;36,41;FALSE;TRUE
300977;2013;2;4050;IND. ASTREINTE NUIT SEMAINE;R;60,3;TRUE;FALSE
300977;2013;2;4090;INDEMNITE D ASTREINTE WEEK-END;R;327,84;TRUE;FALSE
300977;2013;4;1900;HEURES SUPPL.  = 14 H;R;24,28;FALSE;TRUE
300977;2013;4;4075;IND ASTR NUIT SEM FRACTIONNEE;R;36,36;TRUE;FALSE
300977;2013;12;1900;HEURES SUPPL.  = 14 H;R;62,6;FALSE;TRUE
300977;2013;12;1930;HEURES SUPPL. DE NUIT;R;25,03;FALSE;TRUE
300977;2013;12;4050;IND. ASTREINTE NUIT SEMAINE;R;20,1;TRUE;FALSE
301290;2010;2;1930;HEURES SUPPL. DE NUIT;R;225;FALSE;TRUE
301290;2010;2;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
301290;2010;2;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
301290;2010;4;1900;HEURES SUPPL.  = 14 H;R;30;FALSE;TRUE
301290;2010;4;1930;HEURES SUPPL. DE NUIT;R;90;FALSE;TRUE
301290;2010;4;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
301290;2010;4;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
301290;2011;1;1900;HEURES SUPPL.  = 14 H;R;7,73;FALSE;TRUE
301290;2011;1;1930;HEURES SUPPL. DE NUIT;R;61,82;FALSE;TRUE
301290;2011;1;4050;IND. ASTREINTE NUIT SEMAINE;R;40,2;TRUE;FALSE
302060;2013;1;1900;HEURES SUPPL.  = 14 H;R;23,82;FALSE;TRUE
302060;2013;1;1900;HEURES SUPPL.  = 14 H;R;166,74;FALSE;TRUE
302060;2013;1;1920;HEURES SUPPL. DIMANCHE JF;R;19,84;FALSE;TRUE
302060;2013;1;1930;HEURES SUPPL. DE NUIT;R;71,43;FALSE;TRUE
302060;2013;1;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
302060;2013;1;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
302060;2013;1;4075;IND ASTR NUIT SEM FRACTIONNEE;R;36,36;TRUE;FALSE
302060;2013;2;1900;HEURES SUPPL.  = 14 H;R;131,34;FALSE;TRUE
302060;2013;2;1920;HEURES SUPPL. DIMANCHE JF;R;29,87;FALSE;TRUE
302060;2013;2;1930;HEURES SUPPL. DE NUIT;R;95,56;FALSE;TRUE
302060;2013;2;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
302060;2013;2;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
302060;2013;2;4050;IND. ASTREINTE NUIT SEMAINE;R;105,53;TRUE;FALSE
302060;2013;2;4090;INDEMNITE D ASTREINTE WEEK-END;R;163,92;TRUE;FALSE
302060;2013;3;1900;HEURES SUPPL.  = 14 H;R;101,49;FALSE;TRUE
302060;2013;3;1930;HEURES SUPPL. DE NUIT;R;95,56;FALSE;TRUE
302060;2013;3;4050;IND. ASTREINTE NUIT SEMAINE;R;45,23;TRUE;FALSE
302060;2013;3;4090;INDEMNITE D ASTREINTE WEEK-END;R;327,84;TRUE;FALSE
