Année 2012 | Mois 03 | Matricule   0110 | Rang global    102 | Rang dans fichier   102 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   0560 | Rang global    103 | Rang dans fichier   103 | Analyseur C : N.ligne     29 | Xml : N.ligne     29 | Différence    0
Année 2012 | Mois 03 | Matricule   0112 | Rang global    104 | Rang dans fichier   104 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2012 | Mois 03 | Matricule   0113 | Rang global    105 | Rang dans fichier   105 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2012 | Mois 03 | Matricule   0114 | Rang global    106 | Rang dans fichier   106 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   0244 | Rang global    107 | Rang dans fichier   107 | Analyseur C : N.ligne     23 | Xml : N.ligne     23 | Différence    0
Année 2012 | Mois 03 | Matricule   0556 | Rang global    108 | Rang dans fichier   108 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2012 | Mois 03 | Matricule   0403 | Rang global    109 | Rang dans fichier   109 | Analyseur C : N.ligne     35 | Xml : N.ligne     35 | Différence    0
Année 2012 | Mois 03 | Matricule   0566 | Rang global    110 | Rang dans fichier   110 | Analyseur C : N.ligne     23 | Xml : N.ligne     23 | Différence    0
Année 2012 | Mois 03 | Matricule   0904 | Rang global    111 | Rang dans fichier   111 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2012 | Mois 03 | Matricule   4579 | Rang global    112 | Rang dans fichier   112 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   0375 | Rang global    113 | Rang dans fichier   113 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   3048 | Rang global    114 | Rang dans fichier   114 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
