Loading http://mirrors.ibiblio.org/pub/mirrors/CTAN/systems/texlive/tlnet/tlpkg/texlive.tlpdb
Installing TeX Live 2014 from: http://mirrors.ibiblio.org/pub/mirrors/CTAN/systems/texlive/tlnet
Platform: win32 => 'Windows'
Distribution: net  (downloading)
Using URL: http://mirrors.ibiblio.org/pub/mirrors/CTAN/systems/texlive/tlnet
Directory for temporary files: C:/Users/fnicol/AppData/Local/Temp
Installer revision: 36087
Database revision: 36203
Installing [001/842, time/total: ??:??/??:??]: 12many [3k]
Installing [131/842, time/total: 03:56/08:50]: collection-fontutils [1k]
Installing [132/842, time/total: 03:56/08:50]: collection-genericrecommended [1k]
Installing [133/842, time/total: 03:56/08:50]: collection-langczechslovak [1k]
Installing [134/842, time/total: 03:57/08:52]: collection-langenglish [1k]
Installing [135/842, time/total: 03:57/08:52]: collection-langeuropean [1k]
Installing [136/842, time/total: 03:58/08:54]: collection-langfrench [1k]
Installing [137/842, time/total: 03:58/08:54]: collection-langgerman [1k]
Installing [138/842, time/total: 03:59/08:57]: collection-langitalian [1k]
Installing [139/842, time/total: 03:59/08:57]: collection-langpolish [1k]
Installing [140/842, time/total: 03:59/08:57]: collection-langportuguese [1k]
Installing [141/842, time/total: 04:00/08:59]: collection-langspanish [1k]
Installing [142/842, time/total: 04:00/08:59]: collection-latex [1k]
Installing [143/842, time/total: 04:00/08:59]: collection-latexrecommended [1k]
Installing [144/842, time/total: 04:00/08:59]: collection-luatex [1k]
Installing [145/842, time/total: 04:01/09:01]: collection-mathextra [1k]
Installing [146/842, time/total: 04:01/09:01]: collection-metapost [1k]
Installing [147/842, time/total: 04:02/09:03]: collection-plainextra [1k]
Installing [148/842, time/total: 04:02/09:03]: collection-wintools [1k]
Installing [149/842, time/total: 04:02/09:03]: collection-xetex [1k]
Installing [150/842, time/total: 04:03/09:06]: colortbl [4k]
Installing [151/842, time/total: 04:03/09:06]: commath [3k]
Installing [152/842, time/total: 04:03/09:06]: components-of-TeX [1k]
Installing [153/842, time/total: 04:04/09:08]: comprehensive [1k]
Installing [154/842, time/total: 04:04/09:08]: concmath [3k]
Installing [155/842, time/total: 04:05/09:10]: concrete [10k]
Installing [156/842, time/total: 04:05/09:10]: conteq [3k]
Installing [157/842, time/total: 04:06/09:12]: context [5614k]
Installing [158/842, time/total: 04:22/09:08]: context-account [7k]
Installing [159/842, time/total: 04:22/09:07]: context-algorithmic [4k]
Installing [160/842, time/total: 04:23/09:10]: context-animation [4k]
Installing [161/842, time/total: 04:23/09:10]: context-annotation [9k]
Installing [162/842, time/total: 04:23/09:09]: context-bnf [3k]
Installing [163/842, time/total: 04:24/09:12]: context-chromato [3k]
Installing [164/842, time/total: 04:24/09:12]: context-construction-plan [3k]
Installing [165/842, time/total: 04:24/09:12]: context-cyrillicnumbers [8k]
Installing [166/842, time/total: 04:25/09:14]: context-degrade [3k]
Installing [167/842, time/total: 04:25/09:14]: context-fancybreak [4k]
Installing [168/842, time/total: 04:25/09:14]: context-filter [7k]
