Année 2011 | Mois 01 | Matricule   0918 | Rang global     61 | Rang dans fichier    61 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2011 | Mois 01 | Matricule   1222 | Rang global     62 | Rang dans fichier    62 | Analyseur C : N.ligne     42 | Xml : N.ligne     42 | Différence    0
Année 2011 | Mois 01 | Matricule   0467 | Rang global     63 | Rang dans fichier    63 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2011 | Mois 01 | Matricule   0985 | Rang global     64 | Rang dans fichier    64 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2011 | Mois 01 | Matricule   0984 | Rang global     65 | Rang dans fichier    65 | Analyseur C : N.ligne     34 | Xml : N.ligne     34 | Différence    0
Année 2011 | Mois 01 | Matricule   1178 | Rang global     66 | Rang dans fichier    66 | Analyseur C : N.ligne      5 | Xml : N.ligne      5 | Différence    0
Année 2011 | Mois 01 | Matricule   1296 | Rang global     67 | Rang dans fichier    67 | Analyseur C : N.ligne     46 | Xml : N.ligne     46 | Différence    0
Année 2011 | Mois 01 | Matricule   0684 | Rang global     68 | Rang dans fichier    68 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2011 | Mois 01 | Matricule   0781 | Rang global     69 | Rang dans fichier    69 | Analyseur C : N.ligne     37 | Xml : N.ligne     37 | Différence    0
Année 2011 | Mois 01 | Matricule   0485 | Rang global     70 | Rang dans fichier    70 | Analyseur C : N.ligne     34 | Xml : N.ligne     34 | Différence    0
Année 2011 | Mois 01 | Matricule   1197 | Rang global     71 | Rang dans fichier    71 | Analyseur C : N.ligne     10 | Xml : N.ligne     10 | Différence    0
Année 2011 | Mois 01 | Matricule   0034 | Rang global     72 | Rang dans fichier    72 | Analyseur C : N.ligne     32 | Xml : N.ligne     32 | Différence    0
Année 2011 | Mois 01 | Matricule   1285 | Rang global     73 | Rang dans fichier    73 | Analyseur C : N.ligne      8 | Xml : N.ligne      8 | Différence    0
Année 2011 | Mois 01 | Matricule   1089 | Rang global     74 | Rang dans fichier    74 | Analyseur C : N.ligne     37 | Xml : N.ligne     37 | Différence    0
Année 2011 | Mois 01 | Matricule   1216 | Rang global     75 | Rang dans fichier    75 | Analyseur C : N.ligne     32 | Xml : N.ligne     32 | Différence    0
Année 2011 | Mois 01 | Matricule   0040 | Rang global     76 | Rang dans fichier    76 | Analyseur C : N.ligne     28 | Xml : N.ligne     28 | Différence    0
Année 2011 | Mois 01 | Matricule   1185 | Rang global     77 | Rang dans fichier    77 | Analyseur C : N.ligne     40 | Xml : N.ligne     40 | Différence    0
Année 2011 | Mois 01 | Matricule   1198 | Rang global     78 | Rang dans fichier    78 | Analyseur C : N.ligne     10 | Xml : N.ligne     10 | Différence    0
